"&alpha;-<i>N</i>-acetylneuraminyl-2,6-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R"	"CPD-16483"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-2,6-&beta;-D-galactosyl-R"	"ALPHA-N-ACETYLNEURAMINYL-26-BETA-D-GALA"	""	
"&alpha;-<i>N</i>-acetylneuraminyl-2,8-&alpha;-<i>N</i>-acetylneuraminyl-2,3-&beta;-D-galactosyl-R"	"ALPHA-N-ACETYLNEURAMINYL-28-ETCETERA"	""	
"&alpha;-<i>N</i>-phenylacetyl-L-glutamine"	"CPD-1097"	"C13H15N2O4"	39.334743    
"&alpha;-D,&alpha;-D-digalacturonate"	"CPD-12435"	"C12H16O13"	-300.11032    
"&alpha;-D-<i>N</i>-sulfoglucosamine 3-<i>O</i>-sulfate"	"CPD-12545"	"C6H11N1O11S2"	-233.04593    
"&alpha;-D-<i>N</i>-sulfoglucosamine 6-<i>O</i>-sulfate"	"CPD-12533"	"C6H11N1O11S2"	-233.04593    
"&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A"	"KDO2-LIPID-A"	"C110H196N2O39P2"	551.2255    
"&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A 1-diphosphate"	"CPD-17530"	"C110H196N2O42P3"	339.16873    
"&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)]<sub>n</sub>-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"CPD-15547"	""	
"&alpha;-D-abequopyranose"	"CPD-16411"	"C6H12O4"	-18.956558    
"&alpha;-D-abequopyranosyl-(1&rarr;3)-&alpha;-D-mannopyranosyl-(1&rarr;4)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-&beta;-D-galactopyranosyl-diphospholipid"	"ABEQUOSYL-D-MANNOSYL-RHAMNOSYL-ETCETERA"	""	
"&alpha;-D-allofuranose"	"CPD-16933"	"C6H12O6"	-94.78656    
"&alpha;-D-allopyranose"	"CPD-15627"	"C6H12O6"	-95.02656    
"&alpha;-D-altrose"	"CPD-15762"	"C6H12O6"	-95.02656    
"&alpha;-D-arabinofuranose"	"CPD-12044"	"C5H10O5"	-78.908806    
"&alpha;-D-arabinopyranose"	"CPD-12047"	"C5H10O5"	-77.3488    
"&alpha;-D-cellobiose"	"CPD-15976"	"C12H22O11"	-150.79538    
"&alpha;-D-cellobiose 6'-phosphate"	"CPD-16157"	"C12H21O14P1"	-374.81473    
"&alpha;-D-desosamine"	"CPD-13780"	"C8H18N1O3"	92.05812    
"&alpha;-D-fructofuranose"	"CPD-10723"	"C6H12O6"	-95.91656    
"&alpha;-D-fructofuranose &beta;-D-fructofuranose 1,2':1,2'-dianhydride"	"ALPHA-D-FRUCTOFURANOSE-BETA-D-FRUCTO"	"C12H20O10"	-159.11761    
"&alpha;-D-fructofuranose &beta;-D-fructofuranose 1,2':2,3'-dianhydride"	"DFA-III"	"C11H18O9"	-139.03984    
"&alpha;-D-fructofuranose 1-phosphate"	"CPD-16154"	"C6H11O9P1"	-319.9359    
"&alpha;-D-fructofuranose 6-phosphate"	"CPD-18720"	"C6H11O9P1"	
"&alpha;-D-fructopyranose"	"CPD-10725"	"C6H12O6"	-94.35655    
"&alpha;-D-fructopyranose 1-phosphate"	"CPD-16156"	"C6H11O9P1"	-318.3759    
"&alpha;-D-fructuronate"	"CPD-12536"	"C6H9O7"	-170.262    
"&alpha;-D-fucose"	"CPD-14019"	"C6H12O5"	-58.79656    
"&alpha;-D-galactofuranose"	"CPD0-2486"	"C6H12O6"	-94.78656    
"&alpha;-D-galactosamine-[glycoprotein]"	"CPD-8572"	""	
"&alpha;-D-galactose"	"ALPHA-D-GALACTOSE"	"C6H12O6"	-95.02656    
"&alpha;-D-galactose 1-phosphate"	"GALACTOSE-1P"	"C6H11O9P1"	-319.04593    
"&alpha;-D-galactose 6-phosphate"	"CPD-1241"	"C6H11O9P1"	-318.61594    
"&alpha;-D-galactosyl-(1&rarr;3)-(&alpha;-L-fucosyl-(1&rarr;2))-&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol"	"CPD-15434"	"C89H146N2O31P2"	576.88525    
"&alpha;-D-galactosyl-(1,1')-<i>sn</i>-glycerol 3-phosphate"	"CPD-449"	"C9H17O11P1"	-313.79922    
"&alpha;-D-galactosyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-D-glucosamine"	"ALPHA-D-GALACTOSYL-13-BETA-D-GALACTOS"	"C20H35N1O16"	-170.10078    
"&alpha;-D-galactosyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-D-glucosaminyl-R"	"ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL"	""	
"&alpha;-D-galactosyl-1,3-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-[glycoprotein]"	"Core8"	""	
"&alpha;-D-galactosyl-diphosphoundecaprenol"	"CPD-191"	"C61H100O12P2"	690.8039    
"&alpha;-D-galacturonate"	"CPD-12523"	"C6H9O7"	-169.37196    
"&alpha;-D-galacturonate 1-phosphate"	"CPD-501"	"C6H8O10P1"	-394.6396    
"&alpha;-D-galacturonate-[rhamnogalacturonan I oligosaccharide]"	"D-galacturonate-rhamnogalacturonan"	""	
"&alpha;-D-glucopyranose"	"ALPHA-GLUCOSE"	"C6H12O6"	-95.02656    
"&alpha;-D-glucopyranose 1-phosphate"	"GLC-1-P"	"C6H11O9P1"	-319.04593    
"&alpha;-D-glucopyranosyl-diphosphoundecaprenol"	"CPD-12773"	"C61H100O12P2"	690.8039    
"&alpha;-D-glucosamine"	"CPD-12538"	"C6H14N1O5"	-39.546383    
"&alpha;-D-glucosamine 6-phosphate"	"CPD-13469"	"C6H13N1O8P1"	-262.3175    
"&alpha;-D-glucosamine 6-sulfate"	"CPD-12544"	"C6H13N1O8S1"	-129.60544    
"&alpha;-D-glucosaminide-[heparan sulfate]"	"Heparan-sulfate-D-glucosaminides"	""	
"&alpha;-D-glucose 1-methylene-phosphonate"	"CPD0-1029"	"C7H14O9P1"	-262.87637    
"&alpha;-D-glucose 6-phosphate"	"ALPHA-GLC-6-P"	"C6H11O9P1"	-319.04593    
"&alpha;-D-glucosyl-(1,2)-&beta;-D-glucuronate-(1,2)-&alpha;-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol"	"CPD-12784"	"C85H137O33P2"	392.13492    
"&alpha;-D-glucosyl-(1->3)-L-rhamnose"	"CPD-14087"	"C12H22O10"	-114.56535    
"&alpha;-D-glucuronate"	"CPD-14488"	"C6H9O7"	-169.37196    
"&alpha;-D-glucuronate 1-phosphate"	"CPD-510"	"C6H8O10P1"	-394.6396    
"&alpha;-D-gulose"	"CPD-15621"	"C6H12O6"	-95.02656    
"&alpha;-D-idopyranose"	"CPD-15758"	"C6H12O6"	-95.02656    
"&alpha;-D-lyxopyranose"	"CPD-227"	"C5H10O5"	-77.3488    
"&alpha;-D-mannopyranose"	"CPD-13559"	"C6H12O6"	-95.02656    
"&alpha;-D-mannopyranose 6-phosphate"	"MANNOSE-6P"	"C6H11O9P1"	-319.04593    
"&alpha;-D-mannopyranosyl-(1&rarr;4)-&alpha;-L-rhamnopyranosyl-(1&rarr;3)-&beta;-D-galactopyranosyl-diphospholipid"	"D-MANNOSYL-RHAMNOSYL-ETCETERA"	""	
"&alpha;-D-mannopyranosyl-(1,3)-&alpha;-D-mannopyranose"	"CPD-12789"	"C12H22O11"	-150.79538    
"&alpha;-D-mannose 1-phosphate"	"MANNOSE-1P"	"C6H11O9P1"	-319.04593    
"&alpha;-D-mannosyl-(1&rarr;3)-&alpha;-D-mannosyl-(1&rarr;2)-&alpha;-D-mannosyl-(1&rarr;2)-D-mannose"	"MANNOSYL-ETCETERA-D-MANNOSE"	"C24H42O21"	-262.33295    
"&alpha;-D-mannosyl-(1&rarr;3)-[(<i>N</i>-acetyl-&alpha;-D-glucosaminyl)-(1&rarr;2)]-&alpha;-D-mannosyl-(1&rarr;2)-&alpha;-D-mannosyl-(1&rarr;2)-D-mannose"	"MANNOSYL-ETCETERA-GLUCOSAMINYL-D-MANNOSE"	"C32H55N1O26"	-281.63837    
"&alpha;-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol"	"CPD-12769"	"C73H120O22P2"	579.2661    
"&alpha;-D-mannosyl-1,6-(<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,3)-&beta;-D-mannosyl-[glycoprotein]"	"MANNOSYL-ETCETERA-MANNOSYL-R"	""	
"&alpha;-D-mannuronate"	"CPD-14490"	"C6H9O7"	-169.37196    
"&alpha;-D-paratopyranose"	"CPD-16415"	"C6H12O4"	-18.956558    
"&alpha;-D-perosamine"	"CPD-15612"	"C8H15N1O5"	-22.33319    
"&alpha;-D-quinovose"	"CPD-10543"	"C6H12O5"	-58.79656    
"&alpha;-D-rhamnose"	"CPD-13829"	"C6H12O5"	-58.79656    
"&alpha;-D-ribofuranose"	"CPD-10330"	"C5H10O5"	-73.868805    
"&alpha;-D-ribopyranose"	"CPD-15829"	"C5H10O5"	-77.3488    
"&alpha;-D-ribose 1,5-bisphosphate"	"RIBOSE-15-BISPHOSPHATE"	"C5H8O11P2"	-529.44403    
"&alpha;-D-ribose 5-phosphate"	"CPD-15318"	"C5H9O8P1"	-302.92813    
"&alpha;-D-ribose-1-methylphosphonate 5-phosphate"	"CPD0-2480"	"C6H11O10P2"	-454.09625    
"&alpha;-D-ribose-1-methylphosphonate-5-triphosphate"	"CPD0-2479"	"C6H11O16P4"	-778.6892    
"&alpha;-D-ribose-1-phosphate"	"RIBOSE-1P"	"C5H9O8P1"	-294.24817    
"&alpha;-D-talose"	"Alpha-D-Talose"	"C6H12O6"	-95.02656    
"&alpha;-D-tyvelopyranose"	"CPD-16417"	"C6H12O4"	-18.956558    
"&alpha;-D-xylopyranose"	"XYLOSE"	"C5H10O5"	-77.3488    
"&alpha;-D-xylose 1-phosphate"	"CPD-490"	"C5H9O8P1"	-301.36816    
"&alpha;-D-xylosyl-(1->6)-&beta;-D-glucosyl- (1->4)-&beta;-D-glucose"	"ALPHA-D-XYLOSYL-1-6-BETA-D-GLUCOS"	"C17H30O15"	-188.88643    
"&alpha;-D-xylosyl-(1->6)-&beta;-D-glucosyl- (1->4)-&beta;-D-glucosyl-(6->1)-&alpha;-D-xylose"	"CPD-10498"	"C22H38O19"	-226.9775    
"&alpha;-Kdo-(2&rarr;6)-lipid IV<sub>A</sub>"	"KDO-LIPID-IVA"	"C76H137N2O30P2"	223.752    
"&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>"	"CPD-12284"	"C92H159N2O44P2"	-29.43268    
"&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-(lauroyl)-lipid IV<SUB>A</SUB>"	"KDO2-LAUROYL-LIPID-IVA"	"C96H170N2O38P2"	302.18634    
"&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>"	"KDO2-LIPID-IVA"	"C84H148N2O37P2"	97.47154    
"&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>B</SUB>"	"CPD-3861"	"C100H178N2O38P2"	390.8353    
"&alpha;-Kdo-(2->8)-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>"	"CPD-12281"	"C92H159N2O44P2"	-29.43268    
"&alpha;-Kdo-(2->8)-[&alpha;-Kdo-(2->4)]-&alpha;-Kdo-(2->4)-&alpha;-Kdo-(2->6)-lipid IV<SUB>A</SUB>"	"CPD-12285"	"C100H170N2O51P2"	-156.96126    
"&alpha;-Kdo8N-(2&rarr;6)-lipid IV<sub>A</sub>"	"CPD-18065"	"C76H139N3O29P2"	282.35272    
"&alpha;-L-arabinofuranose"	"CPD-12045"	"C5H10O5"	-78.908806    
"&alpha;-L-arabinopyranose"	"ARABINOSE"	"C5H10O5"	-77.3488    
"&alpha;-L-ascarylopyranose"	"CPD-16412"	"C6H12O4"	-18.956558    
"&alpha;-L-aspartylhydroxamate"	"CPD-408"	"C4H8N2O4"	-74.18105    
"&alpha;-L-colitosyl-(1&rarr;2)-&beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-D-glucosamine"	"CPD-18920"	"C20H35N1O14"	
"&alpha;-L-colitosyl-[1&rarr;2]-&beta;-D-galactosyl-[1&rarr;3]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-[1&rarr;3]-&alpha;-D-galactosyl-[1&rarr;3]-<i>N</i>-acetyl-D-galactosamine"	"CPD-18918"	"C34H58N2O24"	
"&alpha;-L-fructofuranose"	"CPD-10729"	"C6H12O6"	-95.91656    
"&alpha;-L-fructopyranose"	"CPD-10727"	"C6H12O6"	-94.35655    
"&alpha;-L-fucopyranose"	"CPD-10329"	"C6H12O5"	-58.79656    
"&alpha;-L-fucoside"	"AN-ALPHA-L-FUCOSIDE"	""	
"&alpha;-L-fucosyl-(1&rarr;2)-&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol"	"CPD-15433"	"C83H136N2O26P2"	632.65424    
"&alpha;-L-galactopyranose-6-sulfate-(1,3)-&beta;-D-galactose"	"CPD-13440"	"C12H21O14S1"	-241.47852    
"&alpha;-L-galactose"	"CPD-13428"	"C6H12O6"	-95.02656    
"&alpha;-L-glutamyl phosphate"	"ALPHA-L-GLUTAMYL-PHOSPHATE"	"C5H8N1O7P1"	-282.50925    
"&alpha;-L-gulose"	"CPD-15624"	"C6H12O6"	-95.02656    
"&alpha;-L-guluronate"	"CPD-15204"	"C6H9O7"	-169.37196    
"&alpha;-L-iduronate"	"CPD-12515"	"C6H9O7"	-169.37196    
"&alpha;-L-iduronate 2-<i>O</i>-sulfate"	"CPD-12518"	"C6H8O10S1"	-260.67926    
"&alpha;-L-lyxopyranose"	"CPD-11897"	"C5H10O5"	-77.3488    
"&alpha;-L-mannose"	"CPD-11613"	"C6H12O6"	-95.02656    
"&alpha;-L-megosamine"	"CPD-14692"	"C8H18N1O3"	92.05812    
"&alpha;-L-rhamnofuranose"	"CPD-16564"	"C6H12O5"	-58.55656    
"&alpha;-L-rhamnopyranose"	"RHAMNOSE"	"C6H12O5"	-58.79656    
"&alpha;-L-rhamnopyranose 3-sulfate"	"Rha3S"	"C6H11O8S1"	-149.47972    
"&alpha;-L-rhamnopyranosyl-(1&rarr;3)-N-acetyl-&alpha;-D-glucosaminyl-diphospho-trans,octacis-decaprenol"	"CPD-12028"	"C64H105N1O16P2"	597.46936    
"&alpha;-L-rhamnose-[rhamnogalacturonan I oligosaccharide]"	"L-Rhamnose-rhamnogalacturonan"	""	
"&alpha;-L-rhodosamine"	"CPD-15763"	"C8H18N1O3"	92.05812    
"&alpha;-L-sorbofuranose"	"CPD-15988"	"C6H12O6"	-95.91656    
"&alpha;-L-sorbofuranose 1-phosphate"	"CPD-16158"	"C6H11O9P1"	-319.9359    
"&alpha;-L-sorbopyranose"	"CPD-15986"	"C6H12O6"	-94.35655    
"&alpha;-L-sorbopyranose 1-phosphate"	"CPD-16160"	"C6H11O9P1"	-318.3759    
"&alpha;-N-acetyl-D-glucosaminyl-&beta;-D-glucosyluronate-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"	"GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Core"	""	
"&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"	"GlcNAc-GlcA-Gal-Gal-Xyl-Protein"	""	
"&alpha;-N-acetylneuraminyl-(2->3)-&beta;-D-galactosyl-(1->3)-[(&alpha;-<i>N</i>-acetylneuraminyl-(2->6)]-N-acetyl-D-galactosaminyl-R"	"ALPHA-N-DIACETYLNEURAMINYL-23-BETA-D-ETC"	""	
"&alpha;-NAD(P)<sup>+</sup>"	"Alpha-NAD-P"	""	
"&alpha;-NAD(P)H"	"Alpha-NAD-P-H"	""	
"&alpha;-NAD<sup>+</sup>"	"CPD-16008"	"C21H26N7O14P2"	-338.38196    
"&alpha;-NADH"	"CPD-16006"	"C21H27N7O14P2"	-325.20697    
"&alpha;-NADP<sup>+</sup>"	"CPD-16007"	"C21H25N7O17P3"	-563.64954    
"&alpha;-NADPH"	"CPD-16005"	"C21H26N7O17P3"	-551.72284    
"&alpha;-acoradiene"	"CPD-13268"	"C15H24"	291.95694    
"&alpha;-aminooxy-&beta;-phenylpropanoate"	"CPD-7021"	"C9H10N1O3"	36.439148    
"&alpha;-amylose"	"Alpha-Amyloses"	""	
"&alpha;-amyrin"	"CPD-8250"	"C30H50O1"	510.56604    
"&alpha;-calacorene"	"CPD-8808"	"C15H20"	241.17343    
"&alpha;-carboxyethylhydroxychroman"	"CPD-11962"	"C16H22O4"	116.074646    
"&alpha;-carotene"	"CPD1F-118"	"C40H56"	787.9427    
"&alpha;-carrageenose"	"alpha-Carrageenan"	""	
"&alpha;-cembratriene-4,6-diol"	"CPD-18857"	"C20H34O2"	
"&alpha;-cembratriene-ol"	"CPD-18854"	"C20H34O1"	
"&alpha;-chaconine"	"CPD-9214"	"C45H74N1O14"	365.2008    
"&alpha;-chamigrene"	"CPD-8245"	"C15H24"	275.1069    
"&alpha;-chitobiose"	"CPD-16163"	"C12H26N2O9"	-40.459114    
"&alpha;-chitobiose 6'-phosphate"	"CPD-16165"	"C12H25N2O12P1"	-261.982    
"&alpha;-copaene"	"CPD-8234"	"C15H24"	269.8769    
"&alpha;-cryptoxanthin"	"CPD-7421"	"C40H56O1"	741.00275    
"&alpha;-cubebene"	"CPD-8739"	"C15H24"	271.8969    
"&alpha;-curcumene"	"CPD-11391"	"C15H22"	285.48465    
"&alpha;-cyclodextrin"	"CPD-3782"	"C36H60O30"	-334.61282    
"&alpha;-cyclopiazonate"	"ALPHA-CYCLOPIAZONATE"	"C20H19N2O3"	168.90474    
"&alpha;-difluoromethylarginine"	"CPD0-1663"	"C7H14N4O2F2"	85.33570    
"&alpha;-eleostearate"	"CPD-8231"	"C18H29O2"	294.16043    
"&alpha;-ethyl-L-glutamate"	"CPD0-2267"	"C7H12N1O4"	-41.178608    
"&alpha;-eudesmol"	"CPD-11430"	"C15H26O1"	249.39914    
"&alpha;-fenchene"	"CPD-12222"	"C10H16"	183.13794    
"&alpha;-fenchocamphorone"	"CPD-12224"	"C9H14O1"	121.94569    
"&alpha;-fluoromethylhistidine"	"CPD-10901"	"C7H10N3O2F1"	48.931202    
"&alpha;-gentiobiose"	"CPD-16571"	"C12H22O11"	-150.79538    
"&alpha;-glucose 1,6-bisphosphate"	"ALPHA-GLUCOSE-16-BISPHOSPHATE"	"C6H10O12P2"	-545.5618    
"&alpha;-glucosyl-hydroxymethylcytosine in DNA"	"Alpha-Glycosylated-Hydroxymethyl-DNAs"	""	
"&alpha;-glutathionyl-&beta;-hydroxypropiovanillone I"	"CPD-11866"	"C20H26N3O10S1"	-42.162937    
"&alpha;-glutathionyl-&beta;-hydroxypropiovanillone II"	"CPD-11880"	"C20H26N3O10S1"	-42.162937    
"&alpha;-guaiene"	"CPD-8749"	"C15H24"	305.7669    
"&alpha;-himachalene"	"CPD-8732"	"C15H24"	297.95694    
"&alpha;-humulene"	"CPD-8233"	"C15H24"	331.78693    
"&alpha;-hydroxyglutarate-&gamma;-lactone"	"CPD-13414"	"C5H5O4"	-93.806465    
"&alpha;-isomaltose"	"CPD-16575"	"C12H22O11"	-150.79538    
"&alpha;-ketoglutaryl-diaminobutyryl-citryl-ethanolamine"	"CPD-12579"	"C17H23N3O12"	-199.86249    
"&alpha;-kojibiose"	"ALPHA-KOJIBIOSE"	"C12H22O11"	-150.79538    
"&alpha;-lactose"	"Alpha-lactose"	"C12H22O11"	-150.79538    
"&alpha;-lactose 6'-phosphate"	"LACTOSE-6P"	"C12H21O14P1"	-374.81473    
"&alpha;-linolenate"	"LINOLENIC_ACID"	"C18H29O2"	303.8004    
"&alpha;-linolenoyl-CoA"	"LINOLENOYL-COA"	"C39H60N7O17P3S1"	-146.81473    
"&alpha;-longipinene"	"CPD-8762"	"C15H24"	272.3269    
"&alpha;-maltose"	"ALPHA-MALTOSE"	"C12H22O11"	-150.79538    
"&alpha;-maltose 1-phosphate"	"CPD-13997"	"C12H21O14P1"	-374.81473    
"&alpha;-maltose 6'-phosphate"	"CPD-1244"	"C12H21O14P1"	-374.81473    
"&alpha;-methyl-glutamate"	"CPD0-2077"	"C6H11N1O4"	-28.867687    
"&alpha;-methyl-tyrosine"	"ALPHA-METHYL-TYROSINE"	"C10H13N1O3"	41.384563    
"&alpha;-methyldopa"	"ALPHA-METHYLDOPA"	"C10H13N1O4"	1.9045683    
"&alpha;-methyldopamine"	"ALPHA-METHYLDOPAMINE"	"C9H14N1O2"	92.92363    
"&alpha;-methylhistidine"	"CPD-10906"	"C7H11N3O2"	53.932323    
"&alpha;-methylmethionine"	"ALPHA-METHYLMETHIONINE"	"C6H13N1O2S1"	56.00457    
"&alpha;-methyltryptophan"	"ALPHA-METHYLTRYPTOPHAN"	"C12H14N2O2"	95.31669    
"&alpha;-monofluoromethylagmatine"	"CPD0-1661"	"C6H15N4F1"	174.2068    
"&alpha;-monofluoromethylarginine"	"CPD0-1662"	"C7H15N4O2F1"	100.9468    
"&alpha;-muricholate"	"CPD-16585"	"C24H39O5"	234.27162    
"&alpha;-naphthaleneacetamide"	"ALPHA-NAPHTHALENEACETAMIDE"	"C12H11N1O1"	132.58232    
"&alpha;-naphthyl acetate"	"ALPHA-NAPHTHYL-ACETATE"	"C12H10O2"	65.1722    
"&alpha;-naphthyl butyrate"	"CPD0-2591"	""	
"&alpha;-naphthyl propionate"	"CPD0-2590"	""	
"&alpha;-oxo-1-carboxy-4-tetrahydrothiopyranpropanoate S-oxide"	"CPD0-1524"	"C9H10O6S1"	-101.96702    
"&alpha;-oxo-1-carboxy-5,6-dihydrothiopyranpropanoate S-oxide"	"CPD0-1525"	"C9H8O6S1"	-120.95928    
"&alpha;-parinarate"	"CPD-17408"	"C18H27O2"	291.15817    
"&alpha;-patchoulene"	"CPD-11413"	"C15H24"	279.0369    
"&alpha;-paxitriol"	"CPD-16752"	"C27H35N1O4"	338.81927    
"&alpha;-phellandrene"	"CPD-12226"	"C10H16"	191.90794    
"&alpha;-picoline N-oxide"	"CPD0-2012"	"C6H7N1O1"	82.267845    
"&alpha;-pinene oxide"	"ALPHA-PINENE-OXIDE"	"C10H16O1"	137.56793    
